source_id,company_name,company_id,FILING_DATE,RECORD_NUM,STATUS,STANDING,ALERT,CAN_REINSTATE,CAN_FILE_AR,CAN_ALWAYS_FILE_AR,CAN_FILE_REINSTATEMENT
159971,XPONET (dba XPONET CORPORATION),159971,03/22/2017,0000160347,Active,Not Good Standing,False,False,True,True,False
359470,Xpress Bookkeepers,359470,05/23/2023,0006283339,Active,Good Standing,False,False,False,False,False
265494,XPRESS MONEY,265494,09/27/2016,0000265874,Active,Good Standing,False,False,False,False,False
367060,"Xpressbet, LLC",367060,10/04/2023,0006429887,Active,Good Standing,False,False,False,False,False
383772,"XpressConnect Supply, LLC",383772,07/30/2024,0006737933,Active,Good Standing,False,False,False,False,False
173609,"XPRESSDOCS GP, LLC",173609,12/06/2018,0000173989,Active,Good Standing,False,False,False,False,False
188181,"XPRESSDOCS PARTNERS, LTD. (dba XPRESSDOCS PARTNERS, LTD., A TEXAS LP)",188181,12/06/2018,0000188561,Active,Good Standing,False,False,False,False,False
299621,"XPT Partners, LLC",299621,07/28/2020,0005216693,Active,Good Standing,False,False,False,False,False
345737,XPT Specialty,345737,09/28/2022,0006042100,Active,Good Standing,False,False,False,False,False
282230,Xquisite Construction LLC,282230,07/17/2019,0002853122,Active,Good Standing,False,False,False,False,False
341094,"XR Solutions, LLC",341094,07/26/2022,0005945632,Active,Good Standing,False,False,True,True,False
160766,"X-RAY LIMA TANGO, LLC",160766,04/28/2017,0000161142,Active,Good Standing,False,False,False,False,False
362750,"XRPL Mining Company, LLC",362750,07/19/2023,0006337035,Active,Good Standing,False,False,True,True,False
321246,XRQ CORP.,321246,09/27/2021,0005595152,Active,Good Standing,False,False,False,False,False
254941,XS AUTOMATION,254941,01/27/2014,0000255321,Active,Good Standing,False,False,False,False,False
381522,"Xsellr8r, Inc.",381522,06/12/2024,0006709030,Active,Good Standing,False,False,False,False,False
91770,XSIDING XTERIORS LLC,91770,04/24/2008,0000092139,Active,Good Standing,False,False,False,False,False
359212,XSM ATM Services LLC,359212,05/18/2023,0006280606,Active,Good Standing,False,False,True,True,False
386152,"Xsolla Payment Network USA, LLC",386152,09/11/2024,0006761557,Active,Good Standing,False,False,False,False,False
374198,Xspray Pharma Inc.,374198,02/13/2024,0006591189,Active,Good Standing,False,False,False,False,False
328417,XSTREAM CLEAN CAR WASH,328417,01/20/2022,0005767677,Active,Good Standing,False,False,False,False,False
180186,"XSTREAM PROPERTIES, LLP",180186,12/30/2002,0000180566,Active,Good Standing,False,False,False,False,False
375793,Xstreme MD,375793,03/07/2024,0006612579,Active,Good Standing,False,False,False,False,False
369998,XTC U.S. XPRESS INC. U.S. INC.,369998,12/04/2023,0006482466,Active,Not Good Standing,False,False,True,True,False
157057,X-TECH LLC,157057,10/19/2016,0000157433,Active,Good Standing,False,False,True,True,False
308363,X-terior Solutions,308363,02/22/2021,0005407945,Active,Good Standing,False,False,False,False,False
76644,XTO ENERGY INC.,76644,05/29/2008,0000076872,Active,Good Standing,False,False,False,False,False
171952,"XTO HOLDINGS, LLC",171952,10/02/2018,0000172330,Active,Good Standing,False,False,False,False,False
13614,XTO OFFSHORE INC.,13614,12/18/1980,0000013762,Active,Good Standing,False,False,False,False,False
169542,XTRA APPAREL CO LLC,169542,06/14/2018,0000169920,Active,Good Standing,False,False,False,False,False
376440,Xtra Mile Property Services LLC,376440,03/18/2024,0006618532,Active,Good Standing,False,False,False,False,False
77127,"XTRA PROPERTIES, LLC",77127,10/11/2004,0000077355,Active,Good Standing,False,False,True,True,False
273964,"Xtra-Office, Inc.",273964,01/22/2019,0002694720,Active,Good Standing,False,False,True,True,False
333362,Xtravagant Elegance,333362,04/05/2022,0005852807,Active,Good Standing,False,False,False,False,False
337680,Xtreme Auto Detailz,337680,06/15/2022,0005917675,Active,Good Standing,False,False,False,False,False
83121,"XTREME AUTO, INC.",83121,06/28/2006,0000083485,Active,Good Standing,False,False,False,False,False
236958,XTREME BUILDERS,236958,01/27/2009,0000237338,Active,Good Standing,False,False,False,False,False
309214,Xtreme Carpet Cleaning LLC,309214,02/02/2021,0005427601,Active,Good Standing,False,False,True,True,False
369976,Xtreme Cleaning Services LLC,369976,11/24/2023,0006482080,Active,Good Standing,False,False,True,True,False
309089,X-treme Detailing,309089,02/01/2021,0005426033,Active,Good Standing,False,False,False,False,False
92327,"XTREME DRILLING, LLC",92327,06/17/2008,0000092696,Active,Good Standing,False,False,True,True,False
79268,XTREME ELECTRIC INC,79268,01/14/2008,0000079498,Active,Good Standing,False,False,False,False,False
106570,"XTREME ELECTRICAL SERVICES, INC. (dba X ELECTRIC)",106570,05/19/2011,0000106939,Active,Good Standing,False,False,False,False,False
108148,"XTREME FIRE PROTECTION, LLC",108148,07/13/2011,0000108517,Active,Good Standing,False,False,False,False,False
154348,"X-TREME FITNESS, LLC",154348,06/17/2016,0000154722,Active,Good Standing,False,False,False,False,False
347328,Xtreme Gun Works,347328,10/26/2022,0006065149,Active,Good Standing,False,False,False,False,False
337553,Xtreme installation LLC,337553,06/23/2022,0005916425,Active,Good Standing,False,False,False,False,False
318390,Xtreme installations,318390,07/07/2021,0005565360,Active,Good Standing,False,False,False,False,False
376551,Xtreme Lawn Care LLC,376551,03/19/2024,0006637287,Active,Good Standing,False,False,False,False,False
259434,XTREME LIGHTING,259434,03/02/2015,0000259814,Active,Good Standing,False,False,False,False,False
228979,X-TREME OUTFITTERS,228979,03/02/2005,0000229359,Active,Good Standing,False,False,False,False,False
